abuelo/a;grandfather/mother;;
abuelos;grandparents;;
abrigo;coat;;
acordeón;accordion;;
albornoz;bathrobe;;
alfombra;carpet;mat;
anorak;anorak;;
armario de cocina;cupboard;;
armario de ropa;wardrobe;;
armónica;harmonica;;
arpa;harp;;
ascensor;elevator;lift;
azucarero;sugar bowl;;
balcón;balcony;;
bandeja;tray;;
banjo;banjo;;
bañera;bath;;
bidet;bidet;;
biombo;folding screen;;
bisabuelo/a;great-grandfather/mother;;
bisabuelos;great-grandparents;;
blusa;blouse;;
bolso;handbag;;
bombilla;bulb;;
bota;boot;;
botella;bottle;;
botón;button;;
bragas;knickers;;
bufanda;scarf;;
calcetín;sock;;
calzoncillos;underpants;;
cama;bed;;
camisa;shirt;;
camiseta;t-shirt;;
camiseta interior;undershirt;;
camisón de hombre;nightshirt;;
camisón de mujer;nightdress;;
chaqueta;jacket;;
cinturón;belt;;
clarinete;clarinet;;
cocina;kitchen;;
cojín;cushion;;
colcha;bedspread;;
colchón;mattress;;
comedor;dining room;;
congelador;freezer;;
contrabajo;double bass;;
corbata;tie;;
cortina;curtain;;
cuadro;painting;;
cuchara;spoon;;
cuchillo/s;knife/knives;;
cuello de ropa;collar;;
cuñado/a;brother/sister-in-law;;
champú;shampoo;;
chandal;tracksuit;;
chaquetón;three-quarter coat;;
chimenea de casa;fireplace;;
chimenea de tejado;chimney;;
chubasquero;cagoule;;
ducha;shower;;
electricidad;electricity;;
enciclopedia;encyclopedia;;
enchufe;point;socket;
escaleras;stairs;;
escoba;broom;;
espejo;mirror;;
esponja;sponge;;
estante;shelf;;
estantería;shelving;;
estanterías;shelves;;
estufa;heater;;
extintor de incendios/espuma;fire/foam extinguisher;;
fagot;bassoon;;
falda;skirt;;
flauta dulce;recorder;;
flauta travesera;flute;;
flautín;piccolo;;
florero;vase;;
fregadero;kitchen sink;;
fregona;mop;;
gabardina;raincoat;;
gaita;bagpipes;;
galería;balcony;;
gorro;hat;;
guante;glove;;
guitarra;guitar;;
habitación;room;;
hall;hall;;
hermano;brother;;
hermana;sister;;
hijo;son;;
hija;daughter;;
horno;oven;;
horno microondas;microwave oven;;
iluminación;lighting;;
interfono;intercom;;
jabón;soap;;
jardinera;window box;;
jarro/a;jug;;
jarrón;vase;;
jaula;cage;;
jersey;jersey;pullover;sweater
juguete;toy;;
lámpara;lamp;;
lápiz;pencil;;
laúd;lute;;
lavabo;washbasin;;
lavadora;washing machine;;
lavavajillas;dishwasher;;
libreta;notebook;;
libro;book;;
lucernario;skylight;;
lupa;magnifying glass;;
llave;key;;
maceta;flowerpot;;
madrastra;stepmother;;
madre;mother;;
madrina;godmother;;
mandolina;mandolin;;
mandil;apron;;
manga;sleeve;;
manta;blanket;;
mantel;tablecloth;;
mecedora;rocking chair;;
mesa;desk;table;
mobiliario;furniture;;
mochila;backpack;;
mueble;piece of furniture;;
nevera;fridge;;
oboe;oboe;;
ordenador;computer;;
órgano;organ;;
padrastro;stepfather;;
padre;father;;
padres;parents;;
padrino;godfather;;
padrinos;godparents;;
pajarera;aviary;;
pandereta;tambourine;;
pantalones;trousers;;
pantalones cortos;shorts;;
paño;cloth;;
pañuelo;handkerchief;;
papel;paper;;
papelera;wastepaper;;
paraguas;umbrella;;
paraguero;umbrella stand;;
pasillo;corridor;;
patio;courtyard;;
patio de luces;well;;
pecera;fishbowl;;
peine;comb;;
pelota;ball;;
percha;hanger;;
perchero;clothes rack;;
periódico;newspaper;;
persiana;blind;;
pijama;pyjamas;;
plato;dish;plate;
plato sopero;soup dish/plate;;
pozo de agua;well;;
prenda de vestir;garment;;
primo/a;cousin;;
radiador;radiator;;
recogedor;dustpan;;
regadera;watering can;;
reloj;clock;watch;
rotulador;felt tip pen;;
sábana;sheet;;
salero;salt cellar;;
salón;living room;lounge;
sandalia;sandal;;
sartén;frying pan;;
saxofón;saxophone;;
secador;drier;;
servilleta;napkin;;
silla;chair;seat;
sillón;armchair;;
sobre;envelope;;
sobrino/a;nephew/niece;;
sofá;sofa;;
sombrero;hat;;
sombrilla;sunshade;;
sostén;bra;;
sótano;basement;;
suegro/a;father/mother-in-law;;
suegros;parents-in-law;;
taburete;stool;;
tambor;drum;;
tatarabuelo/a;great-great-grandfather/mother;;
tatarabuelos;great-great-grandparents;;
taza;cup;;
tazón;bowl;;
teléfono;telephone;;
telescopio;telescope;;
televisor;television;;
tenedor;fork;;
termómetro;thermometer;;
terraza;terrace;;
tío/a;uncle/aunt;;
tiesto;flowerpot;;
tijeras;scissors;;
timbal;small drum;;
toalla;towel;;
toallero;towel rail;;
tocadiscos;record player;;
trastero;junk room;;
trombón;trombone;;
trompa;horn;;
trompeta;trumpet;;
vajilla;dishes;;
vaso;glass;;
veleta;weathercock;;
ventana;window;;
ventanal;large window;;
ventilador;fan;;
viola;viola;;
violín;violin;;
xilófono;xylophone;;
yerno/a;son/daughter-in-law;;
zamarra;sheepskin;;
zapatilla;slipper;;
zapatillas de deportes;trainers;;
zapato;shoe;;
zueco;cloy;wooden shoe;
