acero;steel;;
adoquín;paving stone;;
adoquinado;paving;;
alicatado;tiling;;
alquitrán;tar;;
aluminio;aluminium;;
amoníaco;ammonia;;
andamio;scaffold;;
antepecho;ledge;sill;
arcilla;clay;;
arco;arch;;
arena;sand;;
arsénico;arsenic;;
asfalto;asphalt;;
azulejo;glazed tile;;
bajante;drainpipe;;
balaustrada;balaustrade;;
baldosa;floor tile;;
barandilla de balcón;rail;;
barandilla de escalera;banisters;;
bóveda;vault;;
cable2;cable, wire;;
caldera;boiler;;
calefacción;heating;;
calentador;heater;;
canalón;gutter;;
cantera de arena;sandpit;;
cantera de piedra;stone quarry;;
cañería;pipe;;
carbón;coal;;
cartón;cardboard;;
caucho;rubber;;
cemento;cement;;
ceniza;ash;;
cera;wax;;
cimentación;foundation;;
claraboya;skylight;;
clave;keystone;;
cobre;copper;;
columna;column;;
combustible;fuel;;
condensador;condenser;;
contrachapado;plywood;;
contrafuerte;buttress;;
contraventana;shutter;;
corcho;cork;;
cornisa;cornice;;
cristal;glass;;
cuarzo;quartz;;
cuerda;cord, rope;rope;string
cuero;leather;;
cúpula;cupola;dome;
chapa;sheet metal;;
acometida;connection;;
dintel;lintel;;
dovela;keystone;;
empedrado;paving;;
empizarrado;slate roof;;
enlosado;flagstone pavement;;
enlucido;plaster;;
entarimado;parquet floor;;
entarimado de madera;floorboarding;;
esmeralda;emerald;;
estaño;tin;;
estructura de edificio;framework;;
evaporador;evaporator;;
fachada;front;;
flúor;fluorine;;
fósforo;phosphorus;;
galvanizado;galvanized;;
gárgola;gargoyle;;
gas;gas;;
gasoil;diesel oil;;
gasolina;petrol;;
generador;generator;;
generador eólico;wind turbine;;
grava;gravel;;
grieta;crack;;
grúa;crane;;
hidrógeno;hydrogen;;
hierro;iron;;
hojalata;tin;;
hormigón;concrete;;
hormigón armado;reinforced concrete;;
hormigón pretensado;pre-stressed concrete;;
hulla;soft coal;;
impermeabilizante;waterproofing;;
jácena;main beam;;
jade;jade;;
jamba;jamb;;
jaspe;jasper;;
ladrillo;brick;;
laminado;laminate;sheet s;
lechada;whitewash;;
listón;strip;;
losa;slab;;
lucernario;skylight;;
madera;wood;;
madera para la construcción;timber;;
magnesio;magnesium;;
mampostería;masonry;;
marfil;ivory;;
mármol;marble;;
martillo;hammer;;
ménsula;corbel;;
mercurio;mercury;;
metal;metal;;
mineral;mineral;ore;
nitrógeno;nitrogen;;
oro;gold;;
óxido;oxide;;
óxido (en metal);rust;;
oxígeno;oxygen;;
ozono;ozone;;
paramento;face;;
pared;wall;;
pavimento;pavement;;
pavimento interior;flooring;;
perla;pearl;;
petróleo (combustible);fuel oil;;
petróleo (crudo);crude oil;;
pilote;pile;;
pizarra;slate;;
plástico;plastic;;
plata;silver;;
plomo;lead;;
poliéster;polyester;;
poliestireno;polystyrene;;
polietileno;polythene;;
poliuretano;polyurethane;;
porcelana;porcelain;;
prefabricado;prefabricated;;
resina;resin;;
revestimiento;coating;;
riostra;brace;strut;
roblón;rivet;;
rodapié;skirting board;;
rubí;ruby;;
rueda;wheel;;
seda;silk;;
serrín;sawdust;;
sierra;saw;;
sillar;block of stone;;
tabique;partition;thin wall;
tabla (madera);board;;
taladro;drill;;
techo exterior;roof;;
techo interior;ceiling;;
tejado;tiled roof;;
tiza;chalk;;
tornillo (en punta);screw;;
tornillo (para tuerca);bolt;;
tuerca;nut;;
turbina;turbine;;
turquesa;turquoise;;
uranio;uranium;;
válvula;valve;;
vapor;vapour;;
ventilación;ventilation;;
vidrio;glass;;
viga de madera;beam;timber;
viga de metal;girder;;
viga maestra;main beam;;
viga transversal;crossbeam;;
voladizo;projecting;;
yeso;plaster;;
zócalo;base;plinth;
zuncho;metal band/hoop;;
