abandonar;leave-left;
acabar, terminar;finish-finished;
aceptar;accept-accepted;
alcanzar;reach-reached;
alimentar;feed-fed;
andar;walk-walked;
añadir;add-added;
apagar;turn off-turned off;
aprender;learn-learnt/learned;
aprobar, pasar;pass-passed;
argumentar;argue-argued;
arrastrarse, gatear;crawl-crawled;
atar;tie-tied;
ayudar;help-helped;
balancearse;swing-swung;
beber;drink-drank-drunk;
brillar;shine-shone;
caer;fall-fell-fallen;
cambiar;change-changed;
cantar;sing-sang-sung;
casarse;marry-married;
cerrar;shut;
circular, fluir;flow-flowed;
cocinar;cook-cooked;
coger;catch-caught;take-took-taken
coger prestado;borrow-borrowed;
coleccionar;collect-collected;
comer;eat-ate-eaten;
compartir;share-shared;
comprar;buy-bought;
comprobar;check-checked;
conducir;drive-drove-driven;
congelar;freeze-froze-frozen;
conseguir;get-got;
construir;build-built;
contar;tell-told;
contestar, responder;answer-answered;reply-replied
copiar;copy-copied;
correr;run-ran-run;
cortar;cut;
costar;cost;
crecer;grow-grew-grown;
creer;believe-believed;
cubrir;cover-covered;
charlar;chat-chatted;
dar;give-gave-given;
decir;say-said;
dejar;let;
dejar caer;drop-dropped;
desear, esperar;hope-hoped;
despertarse;wake-woke-woken;
destruir;destroy-destroyed;
dibujar;draw-drew-drawn;
disparar;shoot-shot;
dormir;sleep-slept;
echar de menos, perder;miss-missed;
elegir;choose-chose-chosen;
empezar;begin-began-begun;start-started
empujar;push-pushed;
encender;turn on-turned on;
encontrar;find-found;
encontrar, quedar;meet-met;
enseñar;teach-taught;
entender;understand-understood;
enviar;send-sent;
escalar;climb-climbed;
escribir;write-wrote-written;
escuchar;listen-listened;
estar, ser;be-was/were-been;
estudiar;study-studied;
favorecer, mejorar;improve-improved;
filmar;film-filmed;
freír;fry-fried;
ganar;win-won;
ganar dinero;earn-earned;
girar;turn-turned;
golpear;hit;
guardar;keep-kept;
hablar;speak-spoke-spoken;
hacer;do-did-done;make-made
herir;hurt;
intentar;try-tried;
inventar;invent-invented;
invitar;invite-invited;
inyectar;inject-injected;
ir;go-went-gone;
lanzar;throw-threw-thrown;
lavar;wash-washed;
leer;read;
levantarse;stand-stood;
luchar;fight-fought;
llamar;call-called;
llegar;arrive-arrived;
llegar a ser;become-became-become;
llevar puesto;wear-wore-worn;
llorar;cry-cried;
llover;rain-rained;
manejar;manage-managed;
marcar;score-scored;
matar;kill-killed;
merecer;deserve-deserved;
molestar;annoy-annoyed;
montar;ride-rode-ridden;
morder;bite-bit-bitten;
morir;die-died;
nadar;swim-swam-swum;
navegar;sail-sailed;
necesitar;need-needed;
nevar;snow-snowed;
ocurrir;happen-happened;
odiar;hate-hated;
ofrecer;offer-offered;
oír;hear-heard;
olvidar;forget-forgot-forgotten;
ordenar;tidy-tidied;
pagar;pay-paid;
parar;stop-stopped;
pasar el tiempo;spend-spent;
patinar;skate-skated;
pensar;think-thought;
perder;lose-lost;
permitir;permit-permited;
pesar;weigh-weighed;
pintar;paint-painted;
planear;plan-planned;
poner;put;
ponerse;put on;
poner en el suelo;put down;
preguntar;ask-asked;
preocupar;worry-worried;
prestar;lend-lent;
quedarse;stay-stayed;
quemar;burn-burnt/burned;
querer;want-wanted;
quitarse;take off-took off-taken off;
recibir;receive-received;
recoger;pick up-picked up;
reír;laugh-laughed;
reparar;repair-repaired;
repartir;deliver-delivered;
revisar;revise-revised;
rezar;pray-prayed;
robar;steal-stole-stolen;
romper;break-broke-broken;
saber;know-knew-known;
saltar;jump-jumped;
sentarse;sit-sat;
sentir;feel-felt;
servir;serve-served;
sonreír;smile-smiled;
soñar;dream-dreamt;
sostener;hold-held;
telefonear;ring-rang-rung;
tener;have-had;
tener éxito;succeed-succeeded;
tirar;pull-pulled;
traer;bring-brought;
transportar;carry-carried;
usar;use-used;
vender;sell-sold;
venir;come-came-come;
ver;see-saw-seen;
viajar;travel-traveled;
visitar;visit-visited;
vivir;live-lived;
volar;fly-flew-flown;
